votes,name,seen,star,date,text
11,恶魔的步调,看过,推荐,2020-11-14 21:13:00,五千米的蝴蝶，七千米的星星，一万一千米的气球顶……放到科幻小说的语境，这是一场对边界的探索，就像特德姜的许多小说的主题。我觉得这样的小说真的非常容易产生诗意。
6,乌鸦火堂,看过,推荐,2020-11-15 17:41:50,3.5星，其实电影故事波澜不惊，甚至热气球之外的内容都算尿点，但就是很单纯的“好看”、养眼。热气球场面绝对美轮美奂，云层、蝴蝶、光晕效果很美，三次遇险惊心动魄，尤其是琼斯姐万米高空爬热气球的场面，大银幕效果绝对爽！话说当年菲丽希缇·琼斯在我心目中一直是扮演劳拉的第一人选，可惜落空了。但这次算是开眼了，身手真不错 女冒险家范儿，这个半虚构的角色（有角色原型，但没有参与该历史事件），引导了全片的看点，没演劳拉太可惜唉。
30,木卫二,看过,还行,2019-12-02 20:37:11,特别朴实古典的热气球冒险片，一男一女双主角的搭配，闪回穿插，最终以永恒的女性引我们飞升（……下降）做结。女主在热气球上的杂技表演，尤其是最后站了起来，堪比《徒手攀岩》的恐高症患者小心脏爆表。为了困倦中仍然发作的恐高，值得追加一星。
3,云在云霄,看过,推荐,2020-11-15 11:59:11,热气球版[地心引力]，节奏与配乐看的惊心动魄。喜欢这句话，“这不是机会，这是责任”。致敬所有改变了世界的科学家。
0,0,看过,力荐,2020-11-14 20:06:59,数个世纪之后外星人光顾荒无人迹的地球时，既会惊叹于人类的渺小，也会为其创造的璀璨科学文明而惊叹吧。
3,f7ckoff,看过,推荐,2020-01-02 08:54:13,这对cp就是必看这部电影的原因之一吧，或许是因为万物理论太成功了；但我对本片的科学严谨程度表示怀疑，我感觉在女主爬上气球之前，两位应该死的差不多了才合理，后面剧情走向如《Adrift》，各种幻觉啊什么的。嗨，也是开了挂了。
0,fallingraining,看过,推荐,2020-02-04 22:30:54,太拼了
3,炎さま,看过,推荐,2020-11-15 17:40:42,女主角也太拼了，苦力全让她一个人干了……为了小雀斑去看，他表现中规中矩吧，最刺激的一段男主角睡过去了哈哈哈哈哈
0,到里斯本看海,看过,推荐,2020-11-19 11:42:43,相信女性，让女性做决定。
1,十个斗的眼窝浅,看过,还行,2020-04-19 12:04:30,我要飞得更高！
5,晚不安,看过,推荐,2020-11-13 23:37:23,巨幕厅里没几个观众，暖气也还没来，观影过程中被冻得手脚冰凉，更能感受8000米以上、零下十五度的极寒了。是工整但也精准的传记片，剧作相当扎实可信，线性的冒险中穿插闪回的铺垫，越来越能跟两人共情——一个求学界认可，另一个想克服恐惧，但他们都在上升中感受到无以名状的美：黄蝴蝶在身旁翩飞，头顶的星辰闪耀。高空戏拍出好几个层次（对应着大气层的分层），几个生死攸关的段落很有代入感，恐高症患者更是会心惊胆战、双脚抓地。小雀斑和菲丽希缇还是超级来电，好像瞬间就重新连接到《万物理论》的状态。热气球飞行的全程也是一个多小时，跟一部电影的时长相当，节奏拿捏得刚刚好。绝对是本周末院线最值得一看的电影。
6,CHEVALIER..C!,看过,还行,2019-09-13 09:28:28,TIFF2019.09.08 Eddie和Felicity继万物理论之后的又一次合体，看海报跟标题就大概知道讲什么了，故事半真实半虚构的还原了100多年前两位热气球旅行家的冒险旅程。高空部分还是挺刺激的，云端的蝴蝶群拍的太美了。除此之外其他部分都只能算中规中矩吧。
3,国王KING,看过,推荐,2019-12-29 23:55:43,4.5。壮绝的天空之旅。
1,谢谢你们的鱼,看过,还行,2020-11-13 20:21:30,从平流层、对流层升上中间层，挑战人类的极限，如此的故事要是就着《地心引力》这么拍没准儿能成为又一部经典，可惜的是，不论导演还是编剧都选择了最保守、最无趣的方式，创造了又一部刻板的学院派传记片。模式化的情节，模式化的表演，模式化的叙事，要不是有两场惊心动魄的高空戏支撑，真怕自己睡死在电影院。全片最让人反感的就是小雀斑千篇一律的欠揍表演和笨拙的插叙情节，这片子就应该拍个80分钟几乎全程都在高空，现在这幅样子是真的味同嚼蜡。IMAX效果倒是还行。
1,架构师,看过,还行,2020-11-16 21:39:01,最后20分钟燃起来了，看完有生小孩的冲动，因为人这一生不甘于平凡，要挑战世界纪录才有意思，我想挑战的是做一个世界上最好的爸爸！总之你原本心中有什么火花，这个电影有一股劲，能把这火花给点起来。
2,🦚超巢,看过,还行,2020-11-14 14:24:52,通往星空的童话历险记，伟大勇敢的女飞行家，科学探索的精神令人动容。好几个场景都太美好了：印象深刻的是蓝色天空下俯拍热气球 女主躺在顶端，嗯，适合影院看。片尾曲好听。虽然我有些怀疑科学性
2,朝阳区妻夫木聪,看过,还行,2019-12-07 22:58:50,#2ndHIIFF# 没想到此次电影节最后一部落在它身上了。中规中矩的传记片吧，闪回的文戏处理得比较糟糕，后面进入灾难场面拍得还行，能够感觉到那种高空失重的恐惧感，但影厅放映设备比较差，银幕比较脏，而且太暗了，如果是观影效果好的影厅应该会是挺不错的观影体验。另外，希望别有人再找小雀斑演戏了，真受不了把每个角色都演成霍金，有事吗？
3,LORENZO 洛伦佐,看过,还行,2019-12-27 07:44:35,部分画面惊悚让恐高人士手心冒汗。片尾曲好听。
3,大奇特(Grinch),看过,较差,2019-12-07 23:12:18,我只想看气球上的冒险，你们的背景信息如果能压缩在台词里而不是平摊在闪回里，会更好
1,时间之葬,看过,还行,2019-12-24 23:28:24,冒险的部分还是在水准之上，可惜其它方面都乏善可陈，本来最具感染力的女主角却是虚构的角色
0,Favillae,看过,还行,2020-03-20 01:22:58,"这个电影的wiki里说历史上的这次真实升空里飞行高度打破了世界纪录达到11,887米(38,999英尺)，感觉好扯啊，继续翻了Glaisher的wiki，说达到9,500~10,900米，Coxwell的wiki里则说是10,700~11,300米，一个数据赛一个高……但两位飞行员的wiki里有一个数据比较一致，即都提到他俩在8800米左右昏厥失去意识，而coxwell昏厥前打开了放气阀，打开气阀后气球还能继续升高？那10000米+高度的说法只能解释为Coxwell打开气阀前已经撑到了10000米+（而另一个缺氧这1000多米升高过程一直昏厥且没死），珠峰高度也就8800出头啊，已经是非人的环境，一战飞行员无供氧通常在20000英尺左右及以下飞行，二战飞机开放式座舱到20000英尺也要供氧了"
1,二月鸟语,看过,还行,2020-11-15 14:06:38,"7.2 / 10,视觉享受，一定要看IMAX"
1,施舍翅膀,看过,推荐,2020-11-13 20:50:01,英皇激光IMAX，看天空觉得爽又想这不是cgi做的么又觉得泄气没劲，片子其实不算差，不符合国人欣赏节奏。我这个崇洋媚外的反而很适应，老外就喜欢闪回铺垫人物塑造人物，多次用到雪，每一次都用地很妙，这个重要意向贯穿始终，从雪花书，坟前下雪，躺在篮中看雪很美，发现和雪下降速度一样。蝴蝶、俯瞰气球顶很美。小雀斑角色也太固定了吧，不仅人物性格一样，都是偏执的科学家之类的，最后还都HE，就连服装都差不多，从丹麦女孩神奇动物到这里可以无缝穿越片场。还是要好好保养，女主颈纹太暴露年龄，零下十五度爬气球我不信，摔下来不把腰椎den断啊？还荡回去，该研究的不是天气而是女人非人的身体。我很喜欢大银幕看坐标系。但不得不感慨，外片演员演技很棒，真的是用情绪在发声在表演，不像国片话剧式的虚假感。爸爸声线好像大麻雀。
